hospital_name,ownership,specialty,approx_beds,emergency_24x7,accreditation,address,state,district,latitude,longitude
Shreyas Maternity Home,Private,Women & Child,,0.0,0.0,"Swami Vivekananda Nagara, Sulibele Road,Hoskote",Karnataka,Bengaluru Rural,13.0730023,77.7966975
J.P.Hospital,Private,Multispecialty / General,,0.0,0.0,"45/6 B.H.Road,Nelamangala,Bangalore(Rural)",Karnataka,Bengaluru Rural,13.0256462,77.3846124
Keerthana Netralaya,Private,Multispecialty / General,,0.0,0.0,No 2 B G Road Nelamangala,Karnataka,Bengaluru Rural,13.0313407,77.5132474
Kumar Nursing Home,Private,Multispecialty / General,,0.0,0.0,"Near Hemavathi Kalyana Mantap, Mysore Road , Channarayapatna",Karnataka,Bengaluru Rural,12.9000208,76.3898637
Accident Relife Care,Private,Ortho / Trauma,,0.0,0.0,"40/12, Kumara Krupa Road, Kumara Park East",Karnataka,Bengaluru Urban,12.9922015,77.5821803
Al-Ameen Hospital,Private,Multispecialty / General,,0.0,0.0,"Cunnigham Road, 2Nd Cross No:3",Karnataka,Bengaluru Urban,12.991414,77.5925026
Avian Medicare and Research Centre,Private,Multispecialty / General,,0.0,0.0,"Lmc 1210 &1211 ,1St Main, 1St Stage, 3Rd Block Hbr Layout",Karnataka,Bengaluru Urban,13.0377347,77.6288279
Bangalore Assisted Conception Center Pvt Ltd,Private,Multispecialty / General,,0.0,0.0,"No. 6/7, Kumara Krupa",Karnataka,Bengaluru Urban,12.9404645,77.5450365
Bowring and Lady Curzon Hospitals,Private,Multispecialty / General,,0.0,0.0,,Karnataka,Bengaluru Urban,12.9813349,77.6062649
Cloudnine Hospital Pvt. Ltd.,Private,Multispecialty / General,,0.0,0.0,"#115,Kodihalli,Old Airport Road",Karnataka,Bengaluru Urban,12.9612248,77.6373439
Deepika Health Care,Private,Multispecialty / General,,0.0,0.0,"No 37,Shivalingaiah Colony",Karnataka,Bengaluru Urban,12.9648804,77.6568339
Dr. Arvind Shenoi,Private,Multispecialty / General,,0.0,0.0,"1 Main Road, Sheshadripuram",Karnataka,Bengaluru Urban,12.9912435,77.5791338
Little Flower Hospital Pvt. Ltd,Private,Multispecialty / General,,0.0,0.0,"Opposite Bus Stand, Ramamuthy Nagar",Karnataka,Bengaluru Urban,11.4610891,78.1928228
Popular Nur,Private,Multispecialty / General,,0.0,0.0,263 Jain Temple Street Shivaji Nagar,Karnataka,Bengaluru Urban,19.1645467,72.944227
Suprabha Medical Center,Private,Multispecialty / General,,0.0,0.0,"No-170, 12Th Cross, 1St Main Mahalakshmi Layout",Karnataka,Bengaluru Urban,12.9508982,77.5994652
Syamala Hospital,Private,Multispecialty / General,,0.0,0.0,"17/4, Cambridge Road, Ulsoor",Karnataka,Bengaluru Urban,12.9713407,77.6277165
Timmaya Road Meternity Hospital,Private,Multispecialty / General,,0.0,0.0,"Bharathi Nagar, Timmayya Rd",Karnataka,Bengaluru Urban,12.9897155,77.6107786
V.M. Laxmi,Private,Multispecialty / General,,0.0,0.0,"22. 21St Bks Ii Stage, Banglore",Karnataka,Bengaluru Urban,12.9255128,77.564405
Vagh Eye Centre,Private,Eye / Ophthalmology,,0.0,0.0,"73/1-2, Ist Floor, Infantry Road",Karnataka,Bengaluru Urban,12.9852083,77.6022212
Vijaya Nursing Home,Private,Multispecialty / General,,0.0,0.0,Anekal,Karnataka,Bengaluru Urban,12.7188069,77.7018795
Bangalore West Lions Eye Hospital and Cornea Grafting,Private,Eye / Ophthalmology,,0.0,0.0,"No-5 Lions Eye Hospital Road, Off J C Road",Karnataka,Bengaluru Urban,23.7509604,90.4400338
Dasappa Meternity Hospital,Private,Multispecialty / General,,0.0,0.0,"Near Town Hall, Sjp Rd, South",Karnataka,Bengaluru Urban,12.96361,77.5850308
Institute Of Nephro Urology,Private,Renal / Uro,,0.0,0.0,Victoria Hospital Campus,Karnataka,Bengaluru Urban,18.961019,72.8359607
Nu Hospital,Private,Multispecialty / General,,0.0,0.0,"Ca-6,15Th Main,11Th Cross",Karnataka,Bengaluru Urban,12.917938,77.555796
Parvati Eye Care Center,Private,Eye / Ophthalmology,,0.0,0.0,"Pujari Building, K.C. Road Chikodi",Karnataka,Bengaluru Urban,16.4291905,74.5878546
Sri Rama Nursing Home,Private,Multispecialty / General,,0.0,0.0,"No. 34, Sanjeevappa Lane, Cubbon Pet",Karnataka,Bengaluru Urban,12.9709924,77.5807246
Vani Vilas Hospital,Private,Multispecialty / General,,0.0,0.0,"Administrative Block, K.R.Market",Karnataka,Bengaluru Urban,23.8131377,90.3985468
Avhieta Hospital and Health Care,Private,Multispecialty / General,,0.0,0.0,"No. 280/1, Byrathi Cross, Hennur Bagalur Main Road",Karnataka,Bengaluru Urban,13.0444016,77.6374893
Bilva Hospital,Private,Multispecialty / General,,0.0,0.0,"No.21,22,2Nd Main Road, Palace Guttahalli",Karnataka,Bengaluru Urban,12.998271,77.5786083
Columbia Asia Referral Hospital,Private,Multispecialty / General,,0.0,0.0,"# 26/1,Dr. Rajkumar Road,Malleswaram",Karnataka,Bengaluru Urban,12.9890161,77.5591649
Dr. B. Venkatasubbarao Memorial Hospital,Private,Multispecialty / General,,0.0,0.0,"53, 7Th Cross , 4Th Main Road, Malleswaram",Karnataka,Bengaluru Urban,13.0222313,77.5458444
Gift Fertility Centre,Private,Women & Child,,0.0,0.0,"No. 4, 2Nd Floor, 3Rd Plaza, Hal,2Nd Stage,100 Feet, Road, Indranagar",Karnataka,Bengaluru Urban,12.9672543,77.6402949
Indira Eye Clinic,Private,Eye / Ophthalmology,,0.0,0.0,25/1 Prajna 7Nth Main 9Th Cross Malleswaram,Karnataka,Bengaluru Urban,13.0000884,77.5670569
Jupiter Hospital And Institute Of Vascular Surgery,Private,Multispecialty / General,,0.0,0.0,"28, 7Th Main 9Th Cross, Malleshwaram",Karnataka,Bengaluru Urban,12.9996981,77.5662847
K C General Hospital,Public,Multispecialty / General,,0.0,0.0,Malleswaran,Karnataka,Bengaluru Urban,12.9270695,77.5923719
Leela Hospital and Diagnostic Center,Private,Multispecialty / General,,0.0,0.0,"# 133, Margosa Road,10Th Cross, Malleshwaram",Karnataka,Bengaluru Urban,13.0009978,77.5715523
Malleswaram Eye Day Care Hospital - Bengalore,Private,Eye / Ophthalmology,,0.0,0.0,24/1 5Th Cross Malleswaram,Karnataka,Bengaluru Urban,13.0013627,77.5742402
Manipal Northside Hospital,Public,Multispecialty / General,,0.0,0.0,"71, 11Th Main Road, Opposite Malleshwaram Railway Station, Malleshwaram",Karnataka,Bengaluru Urban,13.0030624,77.5642928
Narayana Super Speciality Hospital,Private,Multispecialty / General,,0.0,0.0,"No. 24, 9Th Cross Margosa Road , Malleshwaram",Karnataka,Bengaluru Urban,13.0009245,77.5756987
Shaker Nursing Home,Private,Multispecialty / General,,0.0,0.0,"260, Sampinge Road Near 17Th Cross Malleshwaram",Karnataka,Bengaluru Urban,13.0071731,77.5707558
Sri Ram Netralaya and Surgical Entre,Private,Multispecialty / General,,0.0,0.0,"2 1St Floor, Kr Purav",Karnataka,Bengaluru Urban,13.0040167,77.6877765
